name,color
Clouds,#800080
Precipitation,#800080
Winds/Storm mixing,#800080
Atmospheric Gases,#800080
Freshwater ,#DF7C00
Allocthonous organic carbon,#DF7C00
Allocthonous nutrient,#DF7C00
Allocthonous sediment,#DF7C00
Sea ice ,#4169E1
Stratification,#4169E1
Light,#4169E1
Temperature,#4169E1
pH,#4169E1
Nutrients,#4169E1
Primary Producers,#BFAE40
Respiration,#BFAE40
Higher Trophic Levels,#BFAE40
Development,#DB7093
Tourism,#DB7093
Arctic policy & management,#DB7093
Resource extraction ,#DB7093
Pollution,#DB7093
